"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.09052847861513,0.939,0.248,0,"1","Dlx6os1"
0,3.45054953076823,0.823,0.14,0,"1","Arx"
0,2.51193764177574,0.933,0.307,0,"1","Gad2"
0,2.41068850978544,0.872,0.253,0,"1","Dlx2"
0,3.14837245871365,0.775,0.166,0,"1","Dlx1as"
0,2.02077145094105,0.822,0.263,0,"1","Dlx1"
0,2.41183221200328,0.699,0.192,0,"1","Dlx5"
0,2.25311091402088,0.717,0.217,0,"1","Gm14204"
0,3.57986710745325,0.565,0.066,0,"1","Sp9"
0,1.80297103933704,0.623,0.223,0,"1","Gad1"
0,1.85489091435388,0.683,0.323,0,"1","St18"
0,1.30527125520913,0.948,0.621,0,"1","Igfbpl1"
0,1.59524657612433,0.554,0.264,0,"1","Grik3"
0,2.46888623270144,0.414,0.129,0,"1","Foxg1"
0,1.62219626239138,0.507,0.23,0,"1","Zic1"
0,2.05727761580355,1,0.723,0,"1","Nrxn3"
0,1.23322327256819,0.611,0.334,0,"1","Islr2"
0,1.49543580871459,0.748,0.472,0,"1","Nr2f1"
0,1.7030783509766,0.427,0.152,0,"1","Slc32a1"
0,2.01225782115163,0.437,0.17,0,"1","Cd1d1"
0,1.03543247417698,0.933,0.685,0,"1","Dcx"
0,1.45248315178273,0.633,0.387,0,"1","Trp53i11"
0,1.40745526473578,0.874,0.629,0,"1","Nr2f2"
0,1.95548057123113,0.774,0.535,0,"1","Erbb4"
0,1.80426765640923,0.544,0.309,0,"1","Nudt4"
0,1.1902986635584,0.639,0.406,0,"1","H2aw"
0,1.06967961069966,0.943,0.717,0,"1","Cd24a"
0,1.03220143464371,0.892,0.675,0,"1","H2bu2"
0,0.970763638830419,0.715,0.5,0,"1","C130071C03Rik"
0,1.31190689861796,0.51,0.297,0,"1","Mir124-2hg"
0,1.21186713792389,0.467,0.257,0,"1","Gm38505"
0,1.26800626094754,0.949,0.743,0,"1","Sox2ot"
0,1.53084734671299,0.376,0.171,0,"1","Meis1"
0,1.42099934490676,0.438,0.241,0,"1","Phf21b"
0,0.928853525518965,0.744,0.551,0,"1","Cdk5r1"
0,0.99783414460897,0.785,0.593,0,"1","H1f10"
0,0.984337391161122,0.858,0.666,0,"1","Nrep"
0,2.15423137899678,0.288,0.097,0,"1","Vax1"
0,1.2679746171791,0.668,0.479,0,"1","Wbp1"
0,1.44539869275264,0.39,0.204,0,"1","Mir124a-1hg"
0,1.29294758107004,0.492,0.308,0,"1","Gstm7"
0,0.897406474390082,0.704,0.521,0,"1","Bcl11a"
0,0.884008076767617,0.783,0.603,0,"1","Csrnp3"
0,1.74732276912074,0.36,0.182,0,"1","Pcsk5"
0,0.723142635530675,0.89,0.716,0,"1","Tagln3"
0,1.85797192735782,0.283,0.109,0,"1","Zic2"
0,1.92839498456168,0.319,0.146,0,"1","Gm17750"
0,0.692793093583238,0.99,0.819,0,"1","Tubb3"
0,0.95431521633579,0.723,0.552,0,"1","Rnd3"
0,1.48626388356537,0.289,0.119,0,"1","Dlx6"
0,1.75880086579004,0.279,0.115,0,"1","Prox1os"
0,1.17319421055649,0.811,0.647,0,"1","Chd3"
0,1.04506077964895,0.713,0.551,0,"1","Mex3a"
0,0.879745393782162,0.904,0.743,0,"1","Nol4"
0,1.20197795154215,0.604,0.443,0,"1","Shtn1"
0,1.22157535162432,0.592,0.437,0,"1","Fam110b"
