"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"Dlx6os1",0,3.09052847861513,0.939,0.248,0,1
"Arx",0,3.45054953076823,0.823,0.14,0,1
"Gad2",0,2.51193764177574,0.933,0.307,0,1
"Dlx2",0,2.41068850978544,0.872,0.253,0,1
"Dlx1as",0,3.14837245871365,0.775,0.166,0,1
"Dlx1",0,2.02077145094105,0.822,0.263,0,1
"Dlx5",0,2.41183221200328,0.699,0.192,0,1
"Gm14204",0,2.25311091402088,0.717,0.217,0,1
"Sp9",0,3.57986710745325,0.565,0.066,0,1
"Gad1",0,1.80297103933704,0.623,0.223,0,1
"St18",0,1.85489091435388,0.683,0.323,0,1
"Igfbpl1",0,1.30527125520913,0.948,0.621,0,1
"Grik3",0,1.59524657612433,0.554,0.264,0,1
"Foxg1",0,2.46888623270144,0.414,0.129,0,1
"Zic1",0,1.62219626239138,0.507,0.23,0,1
"Nrxn3",0,2.05727761580355,1,0.723,0,1
"Nr2f1",0,1.49543580871459,0.748,0.472,0,1
"Slc32a1",0,1.7030783509766,0.427,0.152,0,1
"Cd1d1",0,2.01225782115163,0.437,0.17,0,1
"Trp53i11",0,1.45248315178273,0.633,0.387,0,1
"Nr2f2",0,1.40745526473578,0.874,0.629,0,1
"Erbb4",0,1.95548057123113,0.774,0.535,0,1
"Nudt4",0,1.80426765640923,0.544,0.309,0,1
"Mir124-2hg",0,1.31190689861796,0.51,0.297,0,1
"Sox2ot",0,1.26800626094754,0.949,0.743,0,1
"Meis1",0,1.53084734671299,0.376,0.171,0,1
"Phf21b",0,1.42099934490676,0.438,0.241,0,1
"Vax1",0,2.15423137899678,0.288,0.097,0,1
"Mir124a-1hg",0,1.44539869275264,0.39,0.204,0,1
"Gstm7",0,1.29294758107004,0.492,0.308,0,1
"Pcsk5",0,1.74732276912074,0.36,0.182,0,1
"Zic2",0,1.85797192735782,0.283,0.109,0,1
"Gm17750",0,1.92839498456168,0.319,0.146,0,1
"Dlx6",0,1.48626388356537,0.289,0.119,0,1
"Prox1os",0,1.75880086579004,0.279,0.115,0,1
"Sox11",0,1.30092644562519,0.996,0.912,0,1
"A830082K12Rik",3.12565106439167e-305,1.36944828891208,0.415,0.237,1.26945192329203e-300,1
"Shb",3.54555823747102e-274,1.42810435933646,0.33,0.171,1.43999302256648e-269,1
"Tmem169",1.22637763689965e-269,1.49398011528971,0.314,0.16,4.98081013450423e-265,1
"B130024G19Rik",3.24879623990767e-268,1.34320453152673,0.388,0.218,1.3194661048761e-263,1
"Meis2",1.99942661989038e-262,1.36881774765584,0.35,0.188,8.12047127402279e-258,1
"Frat2",1.46390555957803e-260,1.30045120500748,0.41,0.249,5.94550603967022e-256,1
"Dmrtb1",9.51725851701696e-238,1.45025577986003,0.296,0.153,3.86533937410127e-233,1
"Gm42992",1.18127547310733e-236,1.35927081830284,0.297,0.153,4.79763220647812e-232,1
"H2bc4",6.71475778893928e-230,1.48450505790447,0.443,0.296,2.7271317283998e-225,1
"H1f2",9.5924497499582e-190,1.59347275997254,0.337,0.207,3.89587754144802e-185,1
"Calb1",1.6235433729518e-182,1.27786851860541,0.337,0.2,6.59385905490642e-178,1
"Slit1",1.15686939610751e-171,1.30653956985396,0.314,0.191,4.69850936535106e-167,1
"Ripor2",1.09266478093078e-154,1.63864468810301,0.252,0.142,4.43774874127227e-150,1
"Pnoc",5.09803106255693e-121,1.35510166219533,0.256,0.157,2.07051433574687e-116,1
"Hmx2",0,2.69257048521348,0.546,0.098,0,2
"Zcchc12",0,1.85350160134035,0.845,0.404,0,2
"Tmem130",0,1.31269973712583,0.84,0.4,0,2
"Cacna2d3",0,1.89132654326052,0.724,0.305,0,2
"Isl1",0,1.21983313327383,0.759,0.349,0,2
"Caly",0,1.3983631736517,0.775,0.374,0,2
"Lingo2",0,1.46781565297975,0.783,0.392,0,2
"Hap1",0,1.35632589856964,0.893,0.502,0,2
"Rit2",0,1.35375862412969,0.655,0.267,0,2
"AW551984",0,1.65425430862205,0.623,0.237,0,2
"Chd5",0,1.46297051433186,0.636,0.254,0,2
"Hmx3",0,2.34908158539705,0.457,0.085,0,2
"Rnf227",0,1.20564294107903,0.867,0.504,0,2
"Celf6",0,1.41038580536091,0.635,0.277,0,2
"Nyap2",0,1.23530598012096,0.713,0.398,0,2
"Ecel1",0,2.19436835175623,0.402,0.09,0,2
"Asb4",0,1.560684913449,0.538,0.234,0,2
"Resp18",0,1.23437468936206,0.646,0.343,0,2
"Minar2",0,1.2073230230065,0.745,0.444,0,2
"Syt5",0,1.26522651831384,0.565,0.266,0,2
"Nexmif",0,1.18848477615815,0.741,0.443,0,2
"Peg10",0,1.15794476832974,0.636,0.344,0,2
"Slc32a1",0,1.29843328077039,0.441,0.153,0,2
"Nap1l5",0,1.59343019506687,0.877,0.591,0,2
"Pnck",0,1.4430738459574,0.494,0.209,0,2
"B230209E15Rik",0,1.42567893399951,0.416,0.132,0,2
"Gm28905",0,1.36597212079529,0.452,0.173,0,2
