"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,10.0747947361897,0.439,0.001,0,20,"Emx1"
0,9.39151223161106,0.212,0.001,0,242,"Irx6"
0,8.98973045595141,0.237,0.002,0,95,"Crh"
0,8.90598468347063,0.692,0.004,0,242,"Barhl1"
0,8.59386794532444,0.476,0.001,0,18,"Grin2c"
0,8.53620483465922,0.507,0.002,0,242,"Foxa1"
0,8.40752641985786,0.644,0.034,0,71,"Ghrh"
0,8.16074414444964,0.459,0.006,0,242,"Irx5"
0,8.13575511187969,0.902,0.014,0,20,"Neurod6"
0,8.09711633003408,0.534,0.003,0,242,"Lmx1b"
0,8.03623750961408,0.219,0.001,0,100,"Adh1"
0,7.90982250253625,0.658,0.005,0,242,"Lmx1a"
0,7.84355577959157,0.211,0.002,0,227,"Alx1"
0,7.69970797787667,0.524,0.004,0,18,"Rasd1"
0,7.69221705770248,0.544,0.025,0,95,"Avp"
0,7.62975547627931,0.867,0.025,0,20,"Neurod2"
0,7.56320225591005,0.634,0.035,0,243,"Npy"
0,7.56310915998283,0.614,0.005,0,93,"Samd3"
0,7.30906839365526,0.477,0.003,0,93,"Mab21l1"
9.6850625992995e-201,7.30644941417954,0.559,0.046,3.9334913240795e-196,243,"Agrp"
0,7.29443186100191,0.553,0.018,0,140,"Pmch"
0,6.989251573592,0.632,0.008,0,18,"Prr5l"
0,6.94828877240488,0.565,0.018,0,125,"Pmch"
0,6.94550678172767,0.372,0.004,0,3,"H2-Ab1"
0,6.94218893902663,0.59,0.014,0,21,"Nr5a2"
0,6.90700539697765,0.37,0.006,0,242,"Irx3"
0,6.89291054599026,0.39,0.006,0,242,"Rspo2"
0,6.81970532443928,0.651,0.01,0,125,"Otx1"
0,6.79962699978771,0.254,0.002,0,18,"Npbwr1"
0,6.79354980285426,0.696,0.009,0,18,"Vipr2"
0,6.78754076448928,0.307,0.006,0,3,"Cd44"
0,6.73768660749369,0.844,0.022,0,18,"Avp"
0,6.70617367652612,0.582,0.011,0,109,"Neurog3"
